health	promotion
water	supplier

arm	exporter
bourbon	exporter
oil	exporter
rice	exporter

food	vendor
software	vendor

drug	wholesaler
food	wholesaler

abortion	provider
access	provider
cable	provider
care	provider
childcare	provider
health	provider
service	provider
telecommunication	provider

book	publisher
group	publisher
magazine	publisher
music	publisher
newsletter	publisher
newspaper	publisher
software	publisher
textbook	publisher
aid	donor
organ	donor
antique	dealer
arm	dealer
art	dealer
bond	dealer
book	dealer
bullion	dealer
car	dealer
cocaine	dealer
coin	dealer
crack	dealer
currency	dealer
dope	dealer
drug	dealer
exchange	dealer
gem	dealer
gold	dealer
securities	dealer
security	dealer
cookbook	author

apple	grower
coca	grower
coffee	grower
cotton	grower
fruit	grower
grape	grower
pineapple	grower
rice	grower
sugar	grower
timber	grower
tobacco	grower
wheat	grower

script	writer

land	auction
wine	auction
slave	auction


employment	creation
job	creation
ozone	creation
wealth	creation

arms	development
brain	development
business	development
cancer	development
career	development
character	development
child	development
city	development
condominium	development
credit	development
drug	development
energy	development
enterprise	development
gas	development
hotel	development
industry	development
infrastructure	development
market	development
missile	development
office	development
oil	development
personality	development
player	development
policy	development
product	development
program	development
property	development
resource	development
sector	development
software	development
space	development
system	development
takeover	development
technology	development
tourism	development
weapon	development
weapons	development

auto	manufacturing
computer	manufacturing
semiconductor	manufacturing
cement	making
movie	making



corn	planting
soybean	planting
tree	planting

agriculture	production
aircraft	production
alcohol	production
arms	production
auto	production
automobile	production
beef	production
broadcast	production
bus	production
car	production
cement	production
coal	production
coca	production
cocaine	production
coffee	production
commodity	production
copper	production
corn	production
cotton	production
crop	production
drug	production
electricity	production
energy	production
ethylene	production
food	production
gas	production
gold	production
grain	production
livestock	production
maize	production
meat	production
minitruck	production
oil	production
opera	production
opium	production
pork	production
rice	production
semiconductor	production
soybean	production
steel	production
sugar	production
tea	production
television	production
timber	production
tobacco	production
truck	production
vehicle	production
video	production
weapon	production
wheat	production
wine	production
watch	production


card	dealing
drug	dealing

aid	delivery
aircraft	delivery
arms	delivery
food	delivery
gas	delivery
mail	delivery
oil	delivery
service	delivery

ad	sale
aircraft	sale
album	sale
alcohol	sale
apparel	sale
arms	sale
asset	sale
assets	sale
automobile	sale
beer	sale
book	sale
camera	sale
car	sale
case	sale
catalog	sale
chemicals	sale
chip	sale
cigarette	sale
clothing	sale
computer	sale
copier	sale
cosmetics	sale
debt	sale
department-store	sale
diamond	sale
dollar	sale
drug	sale
electricity	sale
equipment	sale
equity	sale
export	sale
firearm	sale
food	sale
fund	sale
furniture	sale
gas	sale
gasoline	sale
glass	sale
gold	sale
grain	sale
group	sale
handgun	sale
hardware	sale
healthcare	sale
home	sale
industry	sale
land	sale
lease	sale
partnership	sale
liquor	sale
loan	sale
machinery	sale
mainframe	sale
merchandise	sale
missile	sale
movie	sale
music	sale
newspaper	sale
note	sale
package	sale
goods	sale
pc	sale
product	sale
property	sale
securities	sale
semiconductor	sale
shipment	sale
soap	sale
software	sale
stock	sale
supercomputer	sale
telephone	sale
ticket	sale
timber	sale
tobacco	sale
travel	sale
truck	sale
parts	sale
unit	sale
vehicle	sale
video	sale
weapon	sale
weapons	sale
wheat	sale
wine	sale
workstation	sale

hostage	release
news	release
prisoner	release
video	release

dollar	selling
fund	selling
stock	selling
arms	export
banana	export
beef	export
car	export
coal	export
coffee	export
commodity	export
goods	export
corn	export
cotton	export
diamond	export
electronics	export
fish	export
food	export
garment	export
gas	export
grain	export
labor	export
merchandise	export
oil	export
product	export
rice	export
service	export
software	export
soybean	export
spirits	export
steel	export
sugar	export
tea	export
technology	export
vehicle	export
weapon	export
wheat	export
wine	export


aid	payment
alimony	payment
benefit	payment
bonus	payment
car	payment
compensation	payment
debt	payment
dividend	payment
interest	payment
lease	payment
loan	payment
mortgage	payment
ransom	payment
rent	payment
royalty	payment
settlement	payment
tax	payment
tuition	payment

cash	contribution
money	contribution
cash	distribution
land	distribution

cash	infusion
equity	infusion

aircraft	lease

property	lending

budget	submission

merchandise	giveaway

equity	offering
junk	offering
product	offering
right	offering
stock	offering
blood	donation
cash	donation
food	donation
money	donation
organ	donation

food	preparation

appliance	manufacture
engine	manufacture
weapons	manufacture
fruit	growing
fish	farming
kelp	farming


cash	generation
electricity	generation
power	generation

coca	cultivation
poppy	cultivation

airport	construction
apartment	construction
building	construction
highway	construction
home	construction
housing	construction
infrastructure	construction
office	construction
plant	construction
prison	construction
railway	construction
school	construction
settlement	construction

cow	raising
worm	raising
community	reconstruction
fleet	reconstruction
hospital	reconstruction
railway	reconstruction

book	publishing
magazine	publishing
music	publishing
newspaper	publishing

auto	assembly

child	rearing

video	recording


book	writing

mobility	impairment
visibility	impairment
antihistamine	impairment
motor	impairment

convention	planner
party	planner

business	planning
coup	planning
defense	planning
market	planning
marketing	planning
production	planning
project	planning
war	planning

coup	plotter

traffic	tie-up

traffic	congestion
labor	disruption
service	disruption
supply	disruption
traffic	disruption

plant	lover
nature	lover
dog	lover
art	lover
wine	lover

music	fancier
tattoo	fancier
tea	fancier

horse	starvation

land	exchange
email	exchange
information	exchange
technology	exchange
data	exchange
option	exchange
coin	exchange

prisoner	exchange
needle	exchange

block	trading

bell	ringing

electricity	consumer

apple	storage

tampon	holder

sweater	preference

ancestor	admiration

transplant	rejection
organ	rejection

traffic	jam

worker	compensation

crowd	pleaser

couples	counseling

family	entertainment
adult	treatment

drug	coverage

bra	salesman
canvas	salesman
cosmetic	salesman
fireplace	salesman
handbag	salesman
machinery	salesman
sweatshirt	salesman
textile	salesman
umbrella	salesman
toupee	salesman
cosmetic	saleswoman

banana	farmer
catfish	farmer
cattle	farmer
coca	farmer
corn	farmer
cotton	farmer
grain	farmer
hog	farmer
livestock	farmer
pig	farmer
rice	farmer
sheep	farmer
soybean	farmer
tobacco	farmer
wheat	farmer

cattle	rancher

pocket	picking

hydrogen	fusion

flag	flying

patient	suffering

investor	exhaustion

water	flowing

torch	relay

cattle	drive

emissions	trading

investor	education
jury	instruction
police	training
staff	training
teacher	training
worker	training

celebrity	interview

capital	inflow
cash	inflow
cash	outflow
investment	flow
cash	flow
blood	flow
traffic	flow
water	flow
information	flow
data	flow
lava	flow
money	flow
capital	flow
trade	flow

refugee	flow
worker	inflow
worker	influx
foreigner	flood
immigrant	flood
pilgrim	flood
visitor	flood
refugee	overflow

#event
eye	movement
body	movement
price	movement
market	movement
market	move
price	move
sun	set
market	tremor
market	gyration
market	jitter

commodity	circulation
newspaper	circulation
blood	circulation

mud	slide

ocean	shift
plate	shift

grain	seller
home	seller
tax loss	seller

boat	builder

home	builder

drug	pusher

specialty	retailer

cookie	cutter
electricity	generator

market	segmentation
bronze	caster
share	split

plot	twist
time	warp

back	spasm
muscle	spasm
muscle	contraction
industry	consolidation

system	integration
systems	integration
system	integrator

fishing	ban
weapon	ban
export	ban
travel	ban
import	ban
abortion	ban
flight	ban
ephedra	ban
peanut	ban
pigeon	ban
poker	ban

sleep	deprivation

pass	coverage

fire	suppressant

budget	impediment

fire	retardant

term	limitation

cost	containment


capacity	constraint

spending	restraint
trade	restraint
production	restraint
export	restraint

budget	constraint
time	constraint
profit	constraint

weight	control
tobacco	control
rent	control
pest	control
pollution	control
price	control
disease	control
crime	control
birth	control
drug	control
emission	control
growth	control

import	curb

production	limit
spending	limit
income	limit
height	limit
campaign	limit
age	limit
price	limit
term	limit
borrowing	limit
earnings	limit
weight	limit
liability	limit
insurance	limit
lending	limit
trading	limit

police	shooting
police	killing

livestock	breeding

child	prostitution

airline	reservation

ball	player
doubles	player
football	player
jazz	player
lottery	player
market	player
poker	player
rugby	player
singles	player
soccer	player
softball	player

data	encoding

data	storage

cease-fire	violation
right	violation
law	violation
copyright	violation
patent	violation

security	violation
ethics	violation
safety	violation
rule	violation
code	violation
parole	violation
border	violation
probation	violation

drug	violation
tax	violation
securities	violation
campaign	violation
traffic	violation
labor	violation
weapon	violation

phone	misuse

right	abuse

abortion	funding
transportation	funding
research	funding

takeover	financier

project	financing

debt	financing
state	financing
government	financing

acquisition	financing
school	funding
school	aid

price	comparison

favorability	rating
household	rating
popularity	rating
support	rating
television	rating

bond	rating
currency	rating
investment	rating
performance	rating
quarterback	rating

urine	test
sobriety	test
writing	test
blood	test
math	test
brain	test
endurance	test
toxicology	test
literacy	test
fitness	test
emission	test
hospital	test
taste	test
competency	test
proficiency	test
achievement	test
treadmill	test
missile	test
ballistics	test
viability	test
pregnancy	test
flight	test

cancer	study
brain	study
violin	study
rabbit	study

drug	testing

alcohol	testing

coach	poll

opinion	poll

cow	diagnosis

settlement	watchdog
vaccine	trial
body	search

highway	aid
space station	funding

infrastructure	spending
aid	funding
drug	funding
export	subsidy
ethanol	subsidy
food	subsidy
pork	subsidy
art	funding

product	subsidy

#not sure about these subsidies, better here than in Purpose-perf, which is where they were
price	subsidy
tax	subsidy
crop	subsidy
rent	subsidy

tax	break
price	break

tuition	reimbursement

border	demarcation

export	exhibition
photo	exhibition

cooking	demonstration

car	demand
credit	demand
dollar	demand
electricity	demand
energy	demand
export	demand
gasoline	demand
import	demand
investment	demand
labor	demand
loan	demand
oil	demand
pay	demand
press	demand
steel	demand

cash	need
development	need
energy	need
food	need
oil	need
water	need

activation	order
buy	order
closure	order
deportation	order
desegregation	order
detention	order
evacuation	order
expulsion	order
repurchase	order
sell	order
selling	order
stop	order
stop-loss	order
gag	order

aerospace	order
defense	order

engine	order
equipment	order
goods	order
jetliner	order
machinery	order
export	order

aid	request
asylum	request
extradition	request
funding	request
information	request
interview	request
reinvestment	request
visa	request
withdrawal	request

quality	assurance
security	assurance

performance	indicator

product	recall
tire	recall

price	quotation

price	quote
stock	quote

risk	disclosure

job	description
layout	description

travel	authorization

wiretap	authorization

earthquake	prediction

campsite	reservation
ferry	reservation
government	reservation
restaurant	reservation

birthday	celebration
millennium	celebration
independence	celebration
holiday	celebration
anniversary	celebration

devil	worship

firework	exhibition
furniture	exhibition
health	exhibition
propaganda	exhibition
round	exhibition
scale	exhibition
stamp	exhibition
doll	exhibition
wildlife	exhibition
book	exhibition
car	exhibition
cocoa	exhibition

artillery	commander
battalion	commander
battery	commander
combat	commander
division	commander
force	commander
military	commander
militia	commander
opposition	commander
platoon	commander
shuttle	commander
squadron	commander
tank	commander
troop	commander
unit	commander

school	governance

arms	control
border	control
climate	control
cost	control
credit	control
currency	control
customs	control
exchange	control
expense	control
export	control
flight	control
immigration	control
import	control
mission	control
production	control
quality	control
seizure	control
traction	control
traffic	control
voting	control
wage	control
water	control

customer	support

client	service
community	service
commuter	service
constituency	service
consumer	service
customer	service
outpatient	service
passenger	service
family	service
student	service

outpatient	treatment

child	neglect

weather	forecasting

beverage	container

tax	levy

auto	designer
clothing	designer
computer	designer
landscape	designer
lighting	designer
production	designer
set	designer
software	designer

software	engineering
system	engineering

city	planner
product	planning

aircraft	design
chip	design
computer	design
costume	design
fashion	design
furniture	design
garden	design
lighting	design
plant	design
product	design
reactor	design
set	design

computer	engineer
electronics	engineer
highway	engineer
safety	engineer
system	engineer
traffic	engineer

building	collapse

price	collapse
market	collapse

market system	breakdown
computer	breakdown
computer	crash
system	crash
market	crash
computer	malfunction

train	derailment

security	lapse
memory	lapse

child	death

train	wreck
car	wreck

helicopter	crash
bus	crash
plane	crash
airplane	crash
car	crash
train	crash

power	failure
system	failure
company	failure
tire	failure
computer	failure
organ	failure
kidney	failure
launch	failure
business	failure

role	playing

police	corruption
government	corruption

newspaper	reader

performance	measure

pollution	reading

tax	refund

concept	matching
excerpt	announcer

work	assignment
homework	assignment
job	assignment

telephone	listing

contract	award

share	repurchase

delegate	selection
time	selection
sex	selection
jury	selection
site	selection

stock	picking
stock	picker

bankruptcy	approval
drug	approval

landscape	architect

minority	representation


helicopter	ride
car	ride
plane	ride
bike	ride
taxi	ride
boat	ride
cab	ride
train	ride
bus	ride
ferry	ride

motorcycle	rider
subway	rider

animal	regulation

bank	regulation
banking	regulation
building	regulation
currency	regulation
export	regulation
hospital	regulation
industry	regulation
insurance	regulation
investment	regulation
market	regulation
merger	regulation
price	regulation
rate	regulation
safety	regulation
securities	regulation
takeover	regulation
tax	regulation
traffic	regulation

disaster	declaration
independence	declaration
peace	declaration
statehood	declaration

consent	decree

earnings	announcement
merger	announcement
printer	announcement
product	announcement
resignation	announcement

arms	negotiation
wage	negotiation
traffic	negotiation
merger	negotiation
pay	negotiation
framework	negotiation
labor	negotiation
budget	negotiation
contract	negotiation
trade	negotiation
status	negotiation
treaty	negotiation
peace	negotiation
accession	negotiation
enlargement	negotiation
membership	negotiation
debt	negotiation
coalition	negotiation
settlement	negotiation

budget	negotiator

feature	writer
budget	writer
mystery	writer
fiction	writer
speech	writer
newspaper	writer
headline	writer
comedy	writer

security	consideration
tax	consideration

small business	supplier

brain	mapping

inflation	gauge

death	certificate

brand	switching

acquisition	offer
contract	offer
merger	offer
settlement	offer
takeover	offer

acquisition	proposal
aid	proposal
arms	proposal
budget	proposal
buyout	proposal
development	proposal
election	proposal
investment	proposal
labor	proposal
management	proposal
merger	proposal
peace	proposal
policy	proposal
project	proposal
reform	proposal
restructuring	proposal
service	proposal
spending	proposal
tax	proposal

yes	vote

benefit	plan
care	plan
pension	plan
aid	plan
bonus	plan
drug	plan
health	plan
insurance	plan
lesson	plan
relief	plan
compensation	plan
retirement	plan

world	index
consumer	index
employment	index
enterprise	index
value	index
confidence	index
industry	index
banking	index
cash	index
cost	index
section	index
spot	index
art	index
resource	index
technology	index
future	index
stock	index
commodity	index
price	index
market	index
inflation	index
gold	index
service	index

quotation	mark
question	mark

tampon	ad
cow	ad

cop	show
quiz	show
cooking	show
sports	show
court	show
fashion	show
award	show
sport	show
firework	show
reality	show
freak	show
flower	show
art	show
game	show
news	show
car	show
chat	show
music	show
talent	show
interview	show
horse	show
air	show

sex	symbol
status	symbol
danger	signal

jewelry	display

buy	recommendation
policy	recommendation

sample	viewing

gene	probe

asbestos	claim
asylum	claim
compensation	claim
damage	claim
disability	claim
discrimination	claim
health	claim
injury	claim
land	claim
liability	claim
prescription	claim
property	claim
reimbursement	claim
tax	claim
unemployment	claim

city	government
state	government
township	government
world	government

flight	attendant
parking	attendant

baby	sitter

party	government

career	choice
automobile	choice
investment	choice
school	choice

pay	concession

housing	lender
mortgage	lender

football	practice

room	demand
chicken	demand

#also 'to'
ballot	access
broadband	access
elevator	access

acquisition	plan
action	plan
administration	plan
bailout	plan
breakup	plan
building	plan
buying	plan
buyout	plan
calling	plan
campaign	plan
cleanup	plan
conservation	plan
construction	plan
control	plan
cooperation	plan
defense	plan
desegregation	plan
development	plan
distribution	plan
election	plan
evacuation	plan
expansion	plan
financing	plan
flight	plan
funeral	plan
growth	plan
hiring	plan
implementation	plan
improvement	plan
investment	plan
liquidation	plan
management	plan
marketing	plan
merger	plan
modernization	plan
pay	plan
payment	plan
pricing	plan
privatisation	plan
privatization	plan
production	plan
sharing	plan
protection	plan
purchase	plan
rationing	plan
rebuilding	plan
reconstruction	plan
recovery	plan
redevelopment	plan
reduction	plan
reform	plan
rehabilitation	plan
renovation	plan
reorganization	plan
repayment	plan
repurchase	plan
rescue	plan
restoration	plan
saving	plan
service	plan
settlement	plan
spending	plan
stabilization	plan
succession	plan
takeover	plan
transportation	plan
treatment	plan
withdrawal	plan
work	plan
vacation	plan

career	plan
share	plan
school	plan
security	plan
budget	plan
missile	plan
stadium	plan

championship	contender
medal	contender
playoff	contender
title	contender

campaign	watchdog
franchise	watchdog
state	watchdog


